subgroup_field,subgroup_value,question_id,selected_answer,count,pct,weighted_count,weighted_pct
race_ethnicity,Hispanic,q1_elsayed_vs_rogers,Undecided,2000,40.0,2000.0,40.0
race_ethnicity,Hispanic,q2_stevens_vs_rogers,Haley Stevens,3350,67.0,3350.0,67.0
race_ethnicity,Hispanic,q2_stevens_vs_rogers,Undecided,1650,33.0,1650.0,33.0
race_ethnicity,Hispanic,q3_mcmorrow_vs_rogers,Mallory McMorrow,3000,60.0,3000.0,60.0
race_ethnicity,Hispanic,q3_mcmorrow_vs_rogers,Undecided,2000,40.0,2000.0,40.0
race_ethnicity,Multiracial / other,q1_elsayed_vs_rogers,Mike Rogers,1794,59.8,1794.0,59.8
race_ethnicity,Multiracial / other,q1_elsayed_vs_rogers,Undecided,1206,40.2,1206.0,40.2
race_ethnicity,Multiracial / other,q2_stevens_vs_rogers,Undecided,1626,54.2,1626.0,54.2
race_ethnicity,Multiracial / other,q2_stevens_vs_rogers,Mike Rogers,1000,33.3,1000.0,33.3
race_ethnicity,Multiracial / other,q2_stevens_vs_rogers,Haley Stevens,374,12.5,374.0,12.5
race_ethnicity,Multiracial / other,q3_mcmorrow_vs_rogers,Undecided,1986,66.2,1986.0,66.2
race_ethnicity,Multiracial / other,q3_mcmorrow_vs_rogers,Mike Rogers,1014,33.8,1014.0,33.8
race_ethnicity,White non-Hispanic,q1_elsayed_vs_rogers,Mike Rogers,35139,45.1,35139.0,45.1
race_ethnicity,White non-Hispanic,q1_elsayed_vs_rogers,Undecided,26608,34.1,26608.0,34.1
race_ethnicity,White non-Hispanic,q1_elsayed_vs_rogers,Abdul El-Sayed,16253,20.8,16253.0,20.8
race_ethnicity,White non-Hispanic,q2_stevens_vs_rogers,Haley Stevens,31575,40.5,31575.0,40.5
race_ethnicity,White non-Hispanic,q2_stevens_vs_rogers,Mike Rogers,30001,38.5,30001.0,38.5
race_ethnicity,White non-Hispanic,q2_stevens_vs_rogers,Undecided,16424,21.1,16424.0,21.1
race_ethnicity,White non-Hispanic,q3_mcmorrow_vs_rogers,Mike Rogers,31273,40.1,31273.0,40.1
race_ethnicity,White non-Hispanic,q3_mcmorrow_vs_rogers,Undecided,29693,38.1,29693.0,38.1
race_ethnicity,White non-Hispanic,q3_mcmorrow_vs_rogers,Mallory McMorrow,17034,21.8,17034.0,21.8
region,Ann Arbor / Washtenaw,q1_elsayed_vs_rogers,Abdul El-Sayed,2000,50.0,2000.0,50.0
region,Ann Arbor / Washtenaw,q1_elsayed_vs_rogers,Undecided,2000,50.0,2000.0,50.0
region,Ann Arbor / Washtenaw,q2_stevens_vs_rogers,Haley Stevens,4000,100.0,4000.0,100.0
region,Ann Arbor / Washtenaw,q3_mcmorrow_vs_rogers,Mallory McMorrow,2000,50.0,2000.0,50.0
region,Ann Arbor / Washtenaw,q3_mcmorrow_vs_rogers,Undecided,2000,50.0,2000.0,50.0
region,Detroit / Wayne,q1_elsayed_vs_rogers,Abdul El-Sayed,14283,75.2,14283.0,75.2
region,Detroit / Wayne,q1_elsayed_vs_rogers,Undecided,3915,20.6,3915.0,20.6
region,Detroit / Wayne,q1_elsayed_vs_rogers,Mike Rogers,802,4.2,802.0,4.2
region,Detroit / Wayne,q2_stevens_vs_rogers,Haley Stevens,17002,89.5,17002.0,89.5
region,Detroit / Wayne,q2_stevens_vs_rogers,Undecided,1998,10.5,1998.0,10.5
region,Detroit / Wayne,q3_mcmorrow_vs_rogers,Mallory McMorrow,14319,75.4,14319.0,75.4
region,Detroit / Wayne,q3_mcmorrow_vs_rogers,Undecided,4538,23.9,4538.0,23.9
region,Detroit / Wayne,q3_mcmorrow_vs_rogers,Mike Rogers,143,0.8,143.0,0.8
region,Detroit suburbs,q1_elsayed_vs_rogers,Mike Rogers,9154,39.8,9154.0,39.8
region,Detroit suburbs,q1_elsayed_vs_rogers,Undecided,7846,34.1,7846.0,34.1
region,Detroit suburbs,q1_elsayed_vs_rogers,Abdul El-Sayed,6000,26.1,6000.0,26.1
region,Detroit suburbs,q2_stevens_vs_rogers,Haley Stevens,12908,56.1,12908.0,56.1
region,Detroit suburbs,q2_stevens_vs_rogers,Mike Rogers,8000,34.8,8000.0,34.8
region,Detroit suburbs,q2_stevens_vs_rogers,Undecided,2092,9.1,2092.0,9.1
region,Detroit suburbs,q3_mcmorrow_vs_rogers,Undecided,8404,36.5,8404.0,36.5
region,Detroit suburbs,q3_mcmorrow_vs_rogers,Mike Rogers,8000,34.8,8000.0,34.8
region,Detroit suburbs,q3_mcmorrow_vs_rogers,Mallory McMorrow,6596,28.7,6596.0,28.7
region,Flint / Saginaw / Bay,q1_elsayed_vs_rogers,Undecided,3988,66.5,3988.0,66.5
region,Flint / Saginaw / Bay,q1_elsayed_vs_rogers,Abdul El-Sayed,2000,33.3,2000.0,33.3
region,Flint / Saginaw / Bay,q1_elsayed_vs_rogers,Mike Rogers,12,0.2,12.0,0.2
region,Flint / Saginaw / Bay,q2_stevens_vs_rogers,Haley Stevens,3243,54.0,3243.0,54.0
region,Flint / Saginaw / Bay,q2_stevens_vs_rogers,Undecided,2757,46.0,2757.0,46.0
region,Flint / Saginaw / Bay,q3_mcmorrow_vs_rogers,Undecided,3996,66.6,3996.0,66.6
region,Flint / Saginaw / Bay,q3_mcmorrow_vs_rogers,Mallory McMorrow,2004,33.4,2004.0,33.4
region,Lansing / Ingham,q1_elsayed_vs_rogers,Abdul El-Sayed,2000,66.7,2000.0,66.7
region,Lansing / Ingham,q1_elsayed_vs_rogers,Undecided,1000,33.3,1000.0,33.3
region,Lansing / Ingham,q2_stevens_vs_rogers,Haley Stevens,2000,66.7,2000.0,66.7
region,Lansing / Ingham,q2_stevens_vs_rogers,Undecided,1000,33.3,1000.0,33.3
region,Lansing / Ingham,q3_mcmorrow_vs_rogers,Mallory McMorrow,2122,70.7,2122.0,70.7
region,Lansing / Ingham,q3_mcmorrow_vs_rogers,Undecided,878,29.3,878.0,29.3
region,Northern Michigan,q1_elsayed_vs_rogers,Mike Rogers,2000,50.0,2000.0,50.0
region,Northern Michigan,q1_elsayed_vs_rogers,Abdul El-Sayed,1970,49.2,1970.0,49.2
region,Northern Michigan,q1_elsayed_vs_rogers,Undecided,30,0.8,30.0,0.8
region,Northern Michigan,q2_stevens_vs_rogers,Haley Stevens,1979,49.5,1979.0,49.5
region,Northern Michigan,q2_stevens_vs_rogers,Undecided,1021,25.5,1021.0,25.5
region,Northern Michigan,q2_stevens_vs_rogers,Mike Rogers,1000,25.0,1000.0,25.0
region,Northern Michigan,q3_mcmorrow_vs_rogers,Mallory McMorrow,1993,49.8,1993.0,49.8
region,Northern Michigan,q3_mcmorrow_vs_rogers,Undecided,1004,25.1,1004.0,25.1
region,Northern Michigan,q3_mcmorrow_vs_rogers,Mike Rogers,1003,25.1,1003.0,25.1
region,Rural / outstate,q1_elsayed_vs_rogers,Mike Rogers,19014,76.1,19014.0,76.1
region,Rural / outstate,q1_elsayed_vs_rogers,Undecided,5986,23.9,5986.0,23.9
region,Rural / outstate,q2_stevens_vs_rogers,Mike Rogers,17000,68.0,17000.0,68.0
region,Rural / outstate,q2_stevens_vs_rogers,Undecided,6408,25.6,6408.0,25.6
region,Rural / outstate,q2_stevens_vs_rogers,Haley Stevens,1592,6.4,1592.0,6.4
region,Rural / outstate,q3_mcmorrow_vs_rogers,Mike Rogers,17158,68.6,17158.0,68.6
region,Rural / outstate,q3_mcmorrow_vs_rogers,Undecided,7842,31.4,7842.0,31.4
region,Upper Peninsula,q1_elsayed_vs_rogers,Undecided,1000,100.0,1000.0,100.0
region,Upper Peninsula,q2_stevens_vs_rogers,Undecided,666,66.6,666.0,66.6
region,Upper Peninsula,q2_stevens_vs_rogers,Haley Stevens,334,33.4,334.0,33.4
region,Upper Peninsula,q3_mcmorrow_vs_rogers,Undecided,1000,100.0,1000.0,100.0
region,West Michigan,q1_elsayed_vs_rogers,Mike Rogers,6951,46.3,6951.0,46.3
region,West Michigan,q1_elsayed_vs_rogers,Undecided,5049,33.7,5049.0,33.7
region,West Michigan,q1_elsayed_vs_rogers,Abdul El-Sayed,3000,20.0,3000.0,20.0
region,West Michigan,q2_stevens_vs_rogers,Undecided,5663,37.8,5663.0,37.8
region,West Michigan,q2_stevens_vs_rogers,Mike Rogers,5001,33.3,5001.0,33.3
region,West Michigan,q2_stevens_vs_rogers,Haley Stevens,4336,28.9,4336.0,28.9
region,West Michigan,q3_mcmorrow_vs_rogers,Undecided,6017,40.1,6017.0,40.1
region,West Michigan,q3_mcmorrow_vs_rogers,Mike Rogers,5983,39.9,5983.0,39.9
region,West Michigan,q3_mcmorrow_vs_rogers,Mallory McMorrow,3000,20.0,3000.0,20.0
urban_suburban_rural,mixed,q1_elsayed_vs_rogers,Undecided,9037,43.0,9037.0,43.0
urban_suburban_rural,mixed,q1_elsayed_vs_rogers,Mike Rogers,6963,33.2,6963.0,33.2
urban_suburban_rural,mixed,q1_elsayed_vs_rogers,Abdul El-Sayed,5000,23.8,5000.0,23.8
urban_suburban_rural,mixed,q2_stevens_vs_rogers,Undecided,8420,40.1,8420.0,40.1
urban_suburban_rural,mixed,q2_stevens_vs_rogers,Haley Stevens,7579,36.1,7579.0,36.1
urban_suburban_rural,mixed,q2_stevens_vs_rogers,Mike Rogers,5001,23.8,5001.0,23.8
urban_suburban_rural,mixed,q3_mcmorrow_vs_rogers,Undecided,10013,47.7,10013.0,47.7
urban_suburban_rural,mixed,q3_mcmorrow_vs_rogers,Mike Rogers,5983,28.5,5983.0,28.5
urban_suburban_rural,mixed,q3_mcmorrow_vs_rogers,Mallory McMorrow,5004,23.8,5004.0,23.8
urban_suburban_rural,rural/small-town,q1_elsayed_vs_rogers,Mike Rogers,21014,70.0,21014.0,70.0
urban_suburban_rural,rural/small-town,q1_elsayed_vs_rogers,Undecided,7016,23.4,7016.0,23.4
urban_suburban_rural,rural/small-town,q1_elsayed_vs_rogers,Abdul El-Sayed,1970,6.6,1970.0,6.6
urban_suburban_rural,rural/small-town,q2_stevens_vs_rogers,Mike Rogers,18000,60.0,18000.0,60.0
urban_suburban_rural,rural/small-town,q2_stevens_vs_rogers,Undecided,8095,27.0,8095.0,27.0
urban_suburban_rural,rural/small-town,q2_stevens_vs_rogers,Haley Stevens,3905,13.0,3905.0,13.0
urban_suburban_rural,rural/small-town,q3_mcmorrow_vs_rogers,Mike Rogers,18161,60.5,18161.0,60.5
urban_suburban_rural,rural/small-town,q3_mcmorrow_vs_rogers,Undecided,9846,32.8,9846.0,32.8
urban_suburban_rural,rural/small-town,q3_mcmorrow_vs_rogers,Mallory McMorrow,1993,6.6,1993.0,6.6
urban_suburban_rural,suburban,q1_elsayed_vs_rogers,Mike Rogers,9154,39.8,9154.0,39.8
urban_suburban_rural,suburban,q1_elsayed_vs_rogers,Undecided,7846,34.1,7846.0,34.1
urban_suburban_rural,suburban,q1_elsayed_vs_rogers,Abdul El-Sayed,6000,26.1,6000.0,26.1
urban_suburban_rural,suburban,q2_stevens_vs_rogers,Haley Stevens,12908,56.1,12908.0,56.1
urban_suburban_rural,suburban,q2_stevens_vs_rogers,Mike Rogers,8000,34.8,8000.0,34.8
urban_suburban_rural,suburban,q2_stevens_vs_rogers,Undecided,2092,9.1,2092.0,9.1
urban_suburban_rural,suburban,q3_mcmorrow_vs_rogers,Undecided,8404,36.5,8404.0,36.5
urban_suburban_rural,suburban,q3_mcmorrow_vs_rogers,Mike Rogers,8000,34.8,8000.0,34.8
urban_suburban_rural,suburban,q3_mcmorrow_vs_rogers,Mallory McMorrow,6596,28.7,6596.0,28.7
urban_suburban_rural,urban,q1_elsayed_vs_rogers,Abdul El-Sayed,14283,75.2,14283.0,75.2
urban_suburban_rural,urban,q1_elsayed_vs_rogers,Undecided,3915,20.6,3915.0,20.6
urban_suburban_rural,urban,q1_elsayed_vs_rogers,Mike Rogers,802,4.2,802.0,4.2
urban_suburban_rural,urban,q2_stevens_vs_rogers,Haley Stevens,17002,89.5,17002.0,89.5
urban_suburban_rural,urban,q2_stevens_vs_rogers,Undecided,1998,10.5,1998.0,10.5
urban_suburban_rural,urban,q3_mcmorrow_vs_rogers,Mallory McMorrow,14319,75.4,14319.0,75.4
urban_suburban_rural,urban,q3_mcmorrow_vs_rogers,Undecided,4538,23.9,4538.0,23.9
